designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc
Gaia DR3 6308692850516918656,1,45,227.2598116,227.2598116,-13.99957015,-13.99957015,2.506163,0.3896,228.7179787,3.526673439,10.86358887,-45.8582542,13.92794688,0.025494775,0.020306077,0.030130394,0.031596243,0.024251223,,,2016,7073.458008,,,0.000213,1.429887,1.441162,1.598523,7117.66,7303.81,7857.62,4.12582,4.136563,4.207499,-0.320987,-0.227029,0.073443,0.090855,0.091322,0.091362,0.09219,0.092568,-0.009734,0.07304,0.121978,0.416559,0.583897,1,-8.129138,-0.017275,0.05502,8.129156,0.000197,0.109424,0.131154,0.075236,0.000000201,0.055918,2.077215,0.306345
Gaia DR3 5881666139496387328,1,46,225.015989,225.015989,-55.05010292,-55.05010292,2.276101,0.284361,239.8714285,-36.21688773,5.764200395,-31.22828443,-20.19143471,0.011790902,0.012783083,0.017432557,0.01552779,0.017622903,,,2016,,,,0.000165,1.426019,1.644001,1.742202,7675.09,7914.65,8316.23,4.178012,4.232558,4.265945,-0.527559,-0.01452,0.189588,0.171179,0.171819,0.172535,0.173388,0.174015,0.114704,0.185606,0.289546,0.478424,0.571004,1,-8.066681,-0.109063,0.009986,8.067418,-0.004177451,0.262036,0.312886,0.178901,0.000016,0.133985,2.048261,0.304959
Gaia DR3 1286927649634994432,1,47,217.706715,217.706715,31.79854506,31.79854506,2.518429,0.344969,201.6809105,43.6479204,1.634589528,-25.1068324,-18.07720894,0.014864631,0.015823113,0.022149224,0.02311999,0.021770185,-32.37184143,2.289281845,2016,,23.73253632,46.5931778,0.000138,1.395799,1.440754,1.639901,7230.07,7454.71,7906.8,4.153151,4.178359,4.258978,-0.35361,-0.219466,0.185628,0.574499,0.587802,0.592846,0.603701,0.610586,-0.073813,-0.068168,0.041355,0.26066,0.491532,1,-8.060101,0.173467,0.549366,8.061967,-0.003741264,0.037331,0.044611,0.025551,7.93E-08,0.01906,2.035903,0.302377
Gaia DR3 3672179278390964352,1,48,211.2036092,211.2036092,5.41431163,5.41431163,2.678404,0.514914,207.0964798,16.96168607,7.856308203,-66.70268319,3.880850236,0.023481345,0.017750263,0.026724854,0.027603965,0.020780154,-31.71644974,0.183323964,2016,6678.616699,9.139043808,2.180816889,0.000297,1.265,1.427447,1.499336,6632.85,6737.05,6987.15,3.986468,4.070745,4.100379,-0.459987,-0.069453,-0.028185,0.125343,0.125709,0.127028,0.127971,0.128212,-0.044239,-0.024289,0.025202,0.210853,0.229736,1,-8.142638,-0.015349,0.112295,8.142653,0.004143715,0.022368,0.026939,0.015509,8.28E-08,0.01143,2.007756,0.300418
Gaia DR3 6176259561169255424,1,49,205.3326625,205.3326625,-28.78333833,-28.78333833,2.291585,0.449932,214.0630627,-17.01349317,3.11175808,10.08240566,-14.04349067,0.017695826,0.019268135,0.022830565,0.024791507,0.029358406,37.680492,1.387577,2016,7057.989,,,0.000077,1.436751,1.555825,1.694271,6751.93,7014.53,7407.24,3.973614,4.027308,4.095474,-0.326603,-0.021941,0.284945,0.313542,0.315908,0.317543,0.323354,0.328995,-0.056623,0.029797,0.16231,0.353039,0.559377,1,-8.008209,-0.185532,0.172128,8.010358,-0.002326608,0.144403,0.173751,0.099903,0.0000431,0.073848,1.977875,0.299011
Gaia DR3 3507882897984968320,1,50,200.4427004,200.4427004,-18.74216549,-18.74216549,1.082977,0.271711,205.9209125,-9.394502458,7.195896106,-53.09587192,-14.51674543,0.05858523,0.04564605,0.08468949,0.07701034,0.05671055,,,2016,7592.402,,,0.000245,1.740554,1.8228,2.135,7366.97,7675.11,8247.93,3.727466,3.77816,3.818763,-0.516833,-0.322099,0.22541,0.133713,0.135831,0.136792,0.138959,0.146185,0.087052,0.127838,0.243544,0.491327,0.50786,1,-8.132556,-0.072681,0.094238,8.13288,0.001684904,0.219523,0.262586,0.150346,0.0000145,0.11224,1.969553,0.294735
Gaia DR3 3512153298068184448,1,51,195.9120393,195.9120393,-16.33670537,-16.33670537,3.825913,0.633547,200.9468788,-8.825096948,18.48933075,-108.3672374,-29.29915326,0.02354237,0.016740032,0.026895624,0.034291983,0.021449566,1.3477186,0.14138606,2016,6064.163,10.713068,0.8183608,0.000499,0.988938,1.025317,1.142489,6232.22,6338.67,6508.44,4.266922,4.278211,4.336472,-0.510295,-0.381056,-0.134877,0.053708,0.053788,0.053974,0.054097,0.054242,-0.003064,0.075581,0.143257,0.242592,0.264525,1,-8.177518,-0.029636,0.039109,8.177571,0.00244534,0.125401,0.152024,0.087839,0.000102,0.064185,1.945185,0.284361
Gaia DR3 3468304804416637568,1,52,185.5551313,185.5551313,-33.32211958,-33.32211958,2.866597,0.577909,199.3910149,-28.1537324,6.435440321,-44.71069458,-6.222099306,0.04193739,0.025779251,0.048991818,0.058252715,0.044215437,,,2016,,,,0.000201,1.128,1.228,1.301463,6301.01,6406.53,6749.94,3.93,3.97,4.002,-0.73886,-0.248721,-0.148166,0.15086,0.151405,0.154379,0.157256,0.157676,0.006106,0.01037,0.074109,0.260194,0.298759,1,-8.141014,-0.121235,0.075204,8.141916,0.12056029,0.065129,0.078803,0.045492,0.0000993,0.033311,1.937967,0.271711
Gaia DR3 3577502977823182464,1,53,183.8674488,183.8674488,-11.41149973,-11.41149973,2.035903,0.063475,188.1098519,-8.930043652,2.120033681,15.55340247,-3.740542402,0.025667945,0.023357831,0.0330026,0.032943569,0.031251073,3.199278116,0.913440943,2016,9195.131836,27.82056046,7.498235703,0.000071,1.533184,1.690513,1.831966,8429.01,8868.07,9307.33,4.246067,4.313238,4.342434,-0.603474,-0.30386,-0.090915,0.448268,0.456295,0.463571,0.479559,0.488821,-0.021023,0.026869,0.169397,0.282067,0.337761,1,-8.103973,-0.278895,0.357624,8.108771,-0.005388975,0.1572,0.18555,0.10534,0.000000107,0.08021,1.933132,0.271668
Gaia DR3 5372587514128271232,1,54,174.4040348,174.4040348,-46.70953633,-46.70953633,2.545061,0.626589,198.4888533,-43.98103383,9.14957208,-46.67342483,34.19284383,0.01226177,0.013829752,0.021304036,0.01518116,0.01790401,,,2016,6131.1523,,,0.000257,1.5,1.542876,1.573,6546.36,6653.39,6938.35,4.029,4.051061,4.068555,0.06835,0.172405,0.284668,0.108092,0.108569,0.10916,0.109465,0.109564,0.050431,0.141425,0.226521,0.364635,0.407198,1,-8.163843,-0.099407,0.026959,8.164449,-0.007383108,0.199331,0.241086,0.139036,0.0000383,0.10205,1.908496,0.266677
